clean_psnr_mean,clean_ssim_mean,clean_bpp_mean,defended_psnr_mean,defended_ssim_mean,defended_bpp_mean,attacked_psnr_mean,attacked_ssim_mean,attacked_bpp_mean,clean_psnr_drop,clean_ssim_drop,attack_psnr_drop,attack_ssim_drop,asr,defense,attack,eps,asr_reduction
100.0,1.0,0.4152074611435334,29.145959299793343,0.8044658,0.23151461749027172,29.48021318881744,0.8266471,0.2802254166454077,70.85404070020665,0.19553423,-0.33425388902409486,-0.022181332,0.0,median_3x3,pgd,0.01568627450980392,0.041666666666666664
100.0,1.0,0.4152074611435334,29.145959299793343,0.8044658,0.23151461749027172,29.333522144261604,0.82754725,0.2981257326900959,70.85404070020665,0.19553423,-0.18756284446826044,-0.023081481,0.041666666666666664,median_3x3,pgd,0.03137254901960784,0.041666666666666664
100.0,1.0,0.4152074611435334,29.145959299793343,0.8044658,0.23151461749027172,28.987964239997293,0.82705194,0.28680361558993656,70.85404070020665,0.19553423,0.15799505979604925,-0.022586167,0.125,median_3x3,apgd,0.01568627450980392,-0.08333333333333334
100.0,1.0,0.4152074611435334,29.145959299793343,0.8044658,0.23151461749027172,25.28595901449965,0.80954856,0.30633391936620075,70.85404070020665,0.19553423,3.860000285293695,-0.005082786,0.7916666666666666,median_3x3,apgd,0.03137254901960784,-0.16666666666666663
100.0,1.0,0.4152074611435334,26.666226760827367,0.71772164,0.1526077858482798,17.96553437709557,0.6591005,0.2637874459226926,73.33377323917263,0.28227836,8.700692383731798,0.058621168,1.0,median_5x5,fgsm,0.01568627450980392,-0.125
100.0,1.0,0.4152074611435334,26.666226760827367,0.71772164,0.1526077858482798,11.56236165405789,0.47894803,0.2896467559039593,73.33377323917263,0.28227836,15.103865106769476,0.23877361,1.0,median_5x5,fgsm,0.03137254901960784,0.0
100.0,1.0,0.4152074611435334,26.666226760827367,0.71772164,0.1526077858482798,26.338688112133543,0.7282656,0.18355450220406055,73.33377323917263,0.28227836,0.32753864869382765,-0.010543942,0.041666666666666664,median_5x5,pgd,0.01568627450980392,0.0
100.0,1.0,0.4152074611435334,26.666226760827367,0.71772164,0.1526077858482798,26.214489791938487,0.72795343,0.19258850937088332,73.33377323917263,0.28227836,0.4517369688888806,-0.010231793,0.16666666666666666,median_5x5,pgd,0.03137254901960784,-0.08333333333333333
100.0,1.0,0.4152074611435334,26.666226760827367,0.71772164,0.1526077858482798,26.679952387445102,0.72982997,0.18638970733930668,73.33377323917263,0.28227836,-0.013725626617734576,-0.012108326,0.041666666666666664,median_5x5,apgd,0.01568627450980392,0.0
100.0,1.0,0.4152074611435334,26.666226760827367,0.71772164,0.1526077858482798,23.16779567595492,0.7090631,0.20142851242174706,73.33377323917263,0.28227836,3.498431084872449,0.008658528,0.7916666666666666,median_5x5,apgd,0.03137254901960784,-0.16666666666666663
